time,thrust
0,100.83268249827451
1,99.18891950992618
2,97.8586135476304
3,102.8663480751772
4,103.75344516624989
5,98.32324523311819
6,98.93889770187886
7,101.63101856373487
8,103.68535464171038
9,99.1570633904174
10,98.52735363585693
11,98.71206790328384
12,101.02614774616434
13,102.22569159912027
14,102.1702894329656
15,100.94894004394118
16,100.31173937000683
17,99.65510201783188
18,98.30730102072957
19,100.01491515449962
20,98.09699713133833
21,100.10176437307338
22,101.57913672939993
23,97.19913947566057
24,101.89222787848949
25,99.212112346208
26,97.34667008321986
27,99.18729197003435
28,101.24755689761867
29,97.90274664294641
30,101.81634830225586
31,100.5985533476175
32,104.12712305736228
33,102.89319416297027
34,101.17994966726009
35,101.70727909450551
36,102.42886534166529
37,97.20467087621864
38,99.81967646342254
39,99.77943915794636
40,97.69523194665128
41,99.45021103139962
42,97.48053365048548
43,99.6533030662054
44,102.21124227774055
45,98.2914397259544
46,99.15230489267135
47,102.94285428989011
48,102.17344454306009
49,98.28435597780795
50,102.47103788131483
51,97.47147324494388
52,99.17736552598718
53,98.85052924665253
54,100.41615996159778
55,100.69261321336502
56,98.6479689552353
57,101.61267194242859
58,99.826588164895
59,100.17524774412338
60,100.2030690669701
61,101.12164795361292
62,100.38787483960455
63,98.78840286545886
64,99.39647719881685
65,102.26362168290868
66,101.56108534605964
67,96.59420087096005
68,100.94897760845159
69,100.74058751105854
70,99.7960652157422
71,98.15292703754521
72,101.10708722904822
73,100.59038225471873
74,100.55935690093087
75,105.37055911319345
76,99.92869584112017
77,98.48789373384257
78,98.22238473241735
79,104.29515697155767
80,100.37846271306387
81,98.69373224777202
82,100.51711998153017
83,96.50798897292165
84,100.48023073601728
85,101.15161237453658
86,99.90147745785106
87,101.7575494251572
88,101.61282544962302
89,97.85439882667973
90,100.38835648888768
91,100.27261190142497
92,100.92441955726274
93,100.0289377211011
94,99.10256863911216
95,95.77459864387302
96,98.45595291435362
97,97.79230277428329
98,100.54296424758346
99,98.21914919459817
