time,thrust
0,100.65038674976877
1,99.13725421917763
2,98.65367631859385
3,99.59981089332777
4,101.45851730068959
5,101.7151072192757
6,102.22216942413435
7,97.57917519035014
8,97.12964479638111
9,99.46133268982118
10,99.07537312184486
11,100.55063939237918
12,97.77414454277948
13,101.92492771740181
14,98.5081952400431
15,101.05935394423224
16,101.25273256725707
17,98.29112284344332
18,103.35594295433577
19,98.29885359311076
20,101.2627419923242
21,98.27953290557683
22,101.28761493644639
23,97.87672086760912
24,102.67721714600086
25,101.42087791704597
26,102.84124943301553
27,100.8028520148453
28,100.93749986165565
29,98.91197037696105
30,96.64385598952275
31,99.5910379990851
32,100.52893417062432
33,97.50668107990623
34,103.58807487080378
35,97.90015921446007
36,100.09709120814948
37,96.95846850579208
38,99.61406682471205
39,100.33218479654442
40,98.63312825695621
41,99.7453747463421
42,103.48824042396822
43,100.40422491155086
44,97.58491769209293
45,100.077797326122
46,100.22727136305055
47,99.27122750855564
48,98.5585999666146
49,99.20182955188481
50,99.35980568140637
51,100.14501546044721
52,100.65094617097358
53,100.2468524106543
54,98.20791970708994
55,98.75236953533602
56,99.84042187745229
57,99.95080126992494
58,102.38963162764372
59,99.46988853592059
60,102.27537657121393
61,98.98978925415736
62,101.75835366066264
63,101.03352843455352
64,97.83860630685261
65,103.1617801110378
66,94.72931487481874
67,100.75799404883308
68,101.4305000968224
69,102.46726700323596
70,100.09091782700975
71,103.0392435534007
72,100.02987703022416
73,100.68048032740691
74,99.40558786708587
75,96.9730136640595
76,102.4422655378773
77,101.64859933054154
78,102.08686876866551
79,99.89147963124061
80,98.98267384217387
81,98.13612460811945
82,102.34696962580003
83,101.61828409391394
84,101.84042731893464
85,100.75259798660949
86,99.17696143862806
87,100.00166255351787
88,100.97073609597493
89,99.96495300295719
90,103.91859820119754
91,97.85833843587343
92,98.3461356473812
93,102.88637636920961
94,98.57057146294594
95,100.94062978521391
96,101.31404175539237
97,100.35833599721998
98,99.21770145064929
99,101.39617977614135
