time,thrust,pressure,fuel_flow
0,0.0,0.0,0.0
1,10.936464866792862,13.657552341751554,0.676825255217656
2,27.87832163406661,35.03476467141531,1.753828045639924
3,34.83766587687002,43.51187830173111,2.166198406795829
4,45.95512967430683,57.798045655392265,2.8955980161280492
5,61.4704891511006,77.09386838130683,3.8639673896592184
6,74.20668757682547,92.71502038014232,4.637586818871827
7,83.85321284705971,105.02464236221046,5.243366214468133
8,95.73950884324232,119.32237112137298,5.9558004973563285
9,107.05761881019059,133.63573903906357,6.696405382235113
10,121.24803107066055,151.60717838367634,7.566216013083092
11,118.63795611107236,148.6793390747125,7.440019069326629
12,119.13042399154313,148.73605208888554,7.425221693191388
13,119.03335141937497,148.98452219960566,7.43776751568834
14,119.3372247499044,148.88289347638053,7.450397306339687
15,118.99905779481557,149.29873148199636,7.467989645245577
16,117.90545275544837,147.47278468039394,7.37057323308963
17,120.29623747532051,150.21402039692373,7.47352189315832
18,119.60099286771026,149.04238776901897,7.453979996432988
19,121.7380965158156,152.11719793939974,7.5967475940042855
20,118.9045884600547,148.80887237703004,7.434510207599413
21,119.32612934975332,149.46597278849396,7.476469765813742
22,119.13909823411012,148.74244202822203,7.42976291383657
23,119.08263864728512,148.67942624274087,7.434701181985089
24,120.64193556840806,151.08917540961846,7.5622814942193965
25,119.32254600774618,149.24756540651072,7.481106796603021
26,119.44447056458377,149.3148807732053,7.455893530998073
27,119.9119943510897,149.94727908863433,7.501594098287413
28,118.15545907552351,147.49019943860804,7.362218075731111
29,120.13022478409025,149.4362898056717,7.464120668672223
30,119.07745404989166,149.30448620649662,7.486308169045765
31,116.82582824153528,146.43206211739067,7.3132407532273325
32,120.66005273384606,150.55450208674716,7.539015245562008
33,120.90344353768336,151.16958834342026,7.554564989599482
34,117.94723070372316,147.3472583502236,7.367375355924358
35,118.88278806507071,148.60006107668875,7.444124544282865
36,119.18548287537924,149.27930160861172,7.459528513677991
37,119.25336745122002,148.90212796454395,7.4314299303656615
38,118.93495867984505,149.06788360479263,7.464112679753177
39,121.03870650456729,150.89266086091695,7.557656149618037
40,120.35759721897625,150.34820347883837,7.516452019203113
41,118.7487902143621,148.51772336799786,7.436879800290319
42,120.47816070633947,150.51726964033705,7.528971661200334
43,120.97739535123425,150.85413200073037,7.549815537196282
44,118.34587211874982,147.66401130592817,7.384608031156455
45,119.67293185069252,149.50211556894538,7.47513470571612
46,119.64965395078805,149.98501509741635,7.4890916237933975
47,121.23685926780365,151.4844459866353,7.594063120302159
48,117.62490042746553,146.9504677462491,7.358696735032961
49,119.9824622117618,149.684930712715,7.474712882807413
50,121.32123096697676,151.89758885154828,7.6001932317676975
51,117.42754490427546,146.76941475520636,7.344489608350511
52,118.82139888386612,148.81613585083198,7.439807724243509
53,119.31028579120552,148.92620525030284,7.434165183978247
54,121.68174837443847,152.00270462394164,7.5955115148872405
55,120.49474951581938,150.634212109311,7.503152854981161
56,121.13746287268239,151.6136689319754,7.582188707816274
57,119.29266529016424,149.34295262552175,7.461654329457378
58,119.60992083607442,149.49880619454444,7.483626090197419
59,119.9967753946482,149.87787217333036,7.514006795336926
60,122.76315177100257,153.60586861477293,7.667572885122878
61,119.58728463801151,149.16922536361426,7.463646891389107
62,120.22905613532298,150.11053493662428,7.508606311748352
63,119.89853591103183,150.03399497348522,7.5102232690799635
64,118.5331158113688,148.10798533682393,7.402800228642529
65,119.3690744371364,149.35251522267748,7.471335336314327
66,121.47327304185484,151.62509527710947,7.580124321643693
67,121.70618309867287,151.64753250739275,7.597945230299964
68,120.0440287794518,149.79153708386522,7.4926548863017395
69,118.56801272465725,148.10917568896534,7.405747913210158
70,119.5622368580516,149.52463388735958,7.489773727108593
71,114.53256814199223,143.06386255646245,7.155501482521518
72,121.12326336371324,151.11427318407755,7.561134617723761
